Starting ChromeDriver 79.0.3945.36 (3582db32b33893869b8c1339e8f4d9ed1816f143-refs/branch-heads/3945@{#614}) on port 9515
Only local connections are allowed.
Please protect ports used by ChromeDriver and related test frameworks to prevent access by malicious code.
[1577322526.258][WARNING]: Timed out connecting to Chrome, retrying...
[1577322530.286][WARNING]: Timed out connecting to Chrome, retrying...
[1577322534.952][WARNING]: Timed out connecting to Chrome, retrying...
[1577322538.978][WARNING]: Timed out connecting to Chrome, retrying...
[1577322545.853][WARNING]: Timed out connecting to Chrome, retrying...
[1577322549.871][WARNING]: Timed out connecting to Chrome, retrying...
[1577322557.046][WARNING]: Timed out connecting to Chrome, retrying...
[1577322561.073][WARNING]: Timed out connecting to Chrome, retrying...
[1577322568.786][WARNING]: Timed out connecting to Chrome, retrying...
[1577322572.814][WARNING]: Timed out connecting to Chrome, retrying...
[1577322579.590][WARNING]: Timed out connecting to Chrome, retrying...
[1577322583.623][WARNING]: Timed out connecting to Chrome, retrying...
